"State","Year","Population","Median_Household_Income","Unemployment_Rate"
"South Dakota",2012,833566,48439,4
"South Dakota",2013,842316,49200,3.7
"South Dakota",2014,849129,51059,3.3
"Tennessee",2011,6399291,41691,9
"Tennessee",2012,6453898,42743,7.9
"Tennessee",2013,6494340,44268,7.6
"Tennessee",2014,6541223,44357,6.6
"Texas",2011,25645629,49390,8
"Texas",2012,26084481,50747,6.7
"Texas",2013,26480266,51714,6.3
"Texas",2014,26964333,53067,5.2
"Utah",2011,2814384,55802,7.2
"Utah",2012,2853375,57067,4.8
"Utah",2013,2897640,59715,4.2
"Utah",2014,2936879,60943,3.6
"Vermont",2011,627049,52033,5.4
"Vermont",2012,626090,52700,4.8
"Vermont",2013,626210,52511,4.4
"Vermont",2014,625214,54153,3.9
"Virginia",2011,8101155,61877,6.3
"Virginia",2012,8185080,61782,5.8
"Virginia",2013,8252427,62745,5.5
"Virginia",2014,8310993,64923,5.1
"Washington",2011,6826627,56811,9.4
"Washington",2012,6897058,57574,8.4
"Washington",2013,6963985,58431,6.6
"Washington",2014,7054655,61358,5.9
"West Virginia",2011,1856301,38587,7.7
"West Virginia",2012,1856872,40188,7.2
"West Virginia",2013,1853914,41195,6.7
"West Virginia",2014,1849489,41030,6.5
"Wisconsin",2011,5705288,50401,7.6
"Wisconsin",2012,5719960,51063,6.9
"Wisconsin",2013,5736754,51474,6.7
"Wisconsin",2014,5751525,52632,5.4
"Wyoming",2011,567299,56044,6.1
"Wyoming",2012,576305,55104,5.4
"Wyoming",2013,582122,58424,4.7
"Wyoming",2014,582531,58291,4.4
